월,정책 1,정책 2,정책 3,정책type
201911,1810,1320,2975,None
201912,10937,8878,11695,None
202001,9452,11358,8964,None
202002,7952,8035,6234,None
202003,9912,8396,7731,None
202004,11084,7984,9277,None
202005,10384,8862,10919,None
202006,13484,21058,12370,정책 2
202007,15137,28629,21610,정책 2
202009,14231,25319,10986,정책 2
202010,14035,30606,8534,정책 2
202011,15015,34478,8296,정책 2
202012,13718,21533,10009,정책 2
202101,11702,14409,16355,정책 3
202102,10906,10591,15211,정책 3
202103,13544,8800,11706,정책 1
202104,12905,12263,21651,정책 3
202105,10966,15353,16747,정책 3
202106,12554,13462,15992,정책 3
202107,13349,16901,11958,None
202108,13209,14162,10568,None
202109,10602,17316,10053,None
202110,11946,13683,8679,None
202111,11792,13995,12673,None
202112,13499,12774,15459,정책 3
202201,10353,12223,9373,None
202202,9510,11003,8880,None
202203,10876,10843,13533,None
202204,10438,11819,15506,정책 3
202205,10879,17596,15924,정책 3
202206,11876,18739,13086,None
202207,12849,18455,10184,None
202208,11997,16289,12826,None
202209,12858,18987,10099,None
202210,13396,18927,9157,None
202211,10200,10530,9214,None
202212,80,36,33,None
202301,16150,26215,10170,정책 2
202302,12629,24451,8412,정책 2
202303,13042,16370,8712,None
202304,19933,35077,6636,정책 2
202306,11108,22753,7751,정책 2
202307,9167,17690,9093,None
202308,7723,10709,7635,None
202309,7939,10803,9164,None
202310,8850,16192,9259,None
202311,10064,13957,9018,None
202312,10868,13664,10057,None
202401,12925,13415,15359,정책 3
202402,9719,14995,9875,None
202403,10146,14139,10839,None
202404,12265,14329,10049,None
202405,14063,18511,10568,정책 1
202406,12063,14859,9823,None
202407,13217,14433,10914,None
202408,14804,15297,13562,정책 1
202409,11353,12290,9463,None
202410,11530,12241,9205,None
202411,7953,8540,7927,None
