월,정책 1,정책 2,정책 3,정책type
201911,556,418,868,None
201912,3447,2815,4886,None
202001,2424,3414,4393,None
202002,2391,3034,2765,None
202003,2669,2614,3488,None
202004,2911,2649,4873,None
202005,2678,3207,4808,None
202006,3866,6961,5968,None
202007,4711,11020,9924,정책 2
202008,4486,13777,7971,정책 2
202009,3922,8740,4046,정책 2
202010,3767,10527,3074,정책 2
202011,4006,11759,3469,정책 2
202012,3726,6532,4346,None
202101,3313,4478,6970,None
202102,3186,3399,7198,None
202103,3574,2973,5115,None
202104,3521,4816,12195,정책 3
202105,3100,6441,8189,정책 3
202106,3500,4794,7716,정책 3
202107,4077,5700,6221,정책 1
202108,3969,4591,5229,정책 1
202109,3512,5658,4230,None
202110,3724,4413,3525,None
202111,3469,5005,6372,None
202112,3847,4620,7671,정책 3
202201,2926,4686,4223,None
202202,3207,4099,4765,None
202203,3382,4019,8145,정책 3
202204,2840,4593,9390,정책 3
202205,3280,7048,8762,정책 3
202206,3585,7387,5827,None
202207,3908,6743,4762,None
202208,3523,5605,6231,None
202209,3834,5680,5108,None
202210,3938,6648,4925,None
202211,3029,4097,4659,None
202212,15,15,25,None
202301,4560,8932,5298,정책 2
202302,3717,8036,4441,정책 2
202303,3526,5493,4073,None
202304,6057,9672,2758,정책 2
202305,2724,7530,2412,정책 2
202306,3657,7460,3369,정책 2
202307,2801,5878,4032,None
202308,2430,3676,3636,None
202309,2414,3656,4785,None
202310,2886,5378,4477,None
202311,3259,5023,4200,None
202312,3408,4459,4734,None
202401,4176,4329,7544,정책 3
202402,3468,5026,4617,None
202403,3162,5513,4788,None
202404,3885,5536,4442,None
202405,4705,6040,4796,정책 1
202406,3621,4807,4405,None
202407,3945,4624,5186,None
202408,4462,4489,7121,정책 1
202409,3616,4235,4477,None
202410,3448,3874,4412,None
202411,2550,2866,3960,None
