월,정책 1,정책 2,정책 3,정책 4,정책type
201911,150,428,99,974,None
201912,908,2015,1058,5647,None
202001,682,2902,568,2536,None
202002,624,2157,1280,1117,None
202003,1072,3248,802,3759,None
202004,1074,2659,457,3363,None
202005,762,3211,513,1712,None
202006,1000,5641,1471,2053,None
202007,1158,11173,989,6887,정책 2
202008,1074,14022,791,2385,정책 2
202009,1183,9473,439,1524,정책 2
202010,1125,10394,717,4271,정책 2
202011,963,10702,573,6525,정책 2
202012,1123,6313,648,3361,None
202101,1245,4338,541,1653,None
202102,1308,3176,381,1118,None
202103,1262,2857,658,7567,정책 4
202104,1276,4410,1074,7991,정책 4
202105,805,5302,1682,4648,None
202106,802,4486,991,2943,None
202107,1288,5677,832,1621,None
202108,997,4358,1284,1691,None
202109,852,5206,953,884,None
202110,1163,3479,1098,1376,None
202111,1524,4593,1497,6335,정책 1
202112,1496,3746,2042,6602,정책 4
202201,1423,3993,2067,1629,None
202202,1189,3400,1843,1364,None
202203,835,3461,1307,7032,정책 4
202204,1008,3836,1728,4032,None
202205,925,6174,2668,3242,None
202206,904,6582,3554,3079,정책 3
202207,1035,6160,3947,2795,정책 3
202208,1090,4874,3127,1514,None
202209,989,5055,3496,2435,None
202210,1025,5563,4097,1506,정책 3
202211,952,2800,4081,5731,정책 3
202212,10,8,24,0,None
202301,1293,7847,3812,2208,정책 3
202302,1801,7592,1913,725,정책 1
202303,1739,4975,2065,4601,정책 1
202304,1491,9082,1848,1364,None
202305,1152,7392,935,747,None
202306,1440,7083,1545,439,None
202307,1423,5249,1579,692,None
202308,1097,3320,1166,439,None
202309,1050,3511,949,839,None
202310,1165,5127,1472,1024,None
202311,1064,4920,1399,2164,None
202312,1050,4279,1449,1104,None
202401,1009,4056,1318,1152,None
202402,1321,4821,1156,381,None
202403,1031,5453,1249,2661,None
202404,1070,5506,899,1266,None
202405,1133,6153,703,1211,None
202406,1127,4605,1106,2141,None
202407,1606,3954,1916,874,정책 1
202408,1406,4118,2265,1235,None
202409,1198,3334,2324,1306,None
202410,1155,2721,2055,632,None
202411,671,2113,1085,1522,None
