월,정책 1,정책 2,정책 3,정책type
201911,1912,1396,3293,None
201912,11675,9468,12741,None
202001,10126,12244,9800,None
202002,8486,8673,6866,None
202003,10578,9110,8525,None
202004,11958,8622,10287,None
202005,11150,9584,12059,None
202006,14248,22418,13440,None
202007,16139,31089,23630,정책 2
202008,16499,43787,20720,정책 2
202009,15125,27591,12128,None
202010,14957,33894,9258,정책 2
202011,15917,38618,8944,정책 2
202012,14482,23505,10801,None
202101,12380,15735,18201,정책 3
202102,11788,11583,16775,None
202103,14648,9486,12762,None
202104,13669,13567,23863,정책 3
202105,11688,16909,18523,정책 3
202106,13418,14568,17552,None
202107,14413,18417,13172,None
202108,14135,15292,11552,None
202109,11510,19128,11227,None
202110,12894,14807,9453,None
202111,12784,15085,13889,None
202112,14517,13766,17379,None
202201,11209,13375,10209,None
202202,10212,11891,9898,None
202203,11770,11777,14767,None
202204,11344,12917,16928,None
202205,11963,19450,17770,None
202206,12866,20489,14518,None
202207,13839,20063,11100,None
202208,12991,17755,14248,None
202209,13928,20881,11087,None
202210,14626,20849,10385,None
202211,11232,11302,10132,None
202212,86,36,37,None
202301,17446,28797,11068,정책 1
202302,13637,26805,9346,None
202303,14132,18022,9562,None
202304,21795,39337,7326,정책 2
202305,9764,27426,5947,None
202306,12000,25287,8629,None
202307,9901,19582,10135,None
202308,8349,11783,8465,None
202309,8607,11907,10288,None
202310,9598,18150,10359,None
202311,10960,15489,9966,None
202312,11814,14944,11289,None
202401,14103,14821,17247,None
202402,10547,16457,10967,None
202403,10948,15651,12141,None
202404,13299,15961,11099,None
202405,15073,20601,11812,None
202406,13029,16375,10861,None
202407,14077,15933,12152,None
202408,15852,16607,15272,None
202409,12321,13304,10691,None
202410,12348,13435,10279,None
202411,8595,9394,8953,None
