월,정책 1,정책 2,정책 3,정책type
201911,223.6987,115.1032,317.5701,None
201912,1325.9211,662.3116,1694.4328,None
202001,1013.1644,718.8301,1434.5648,None
202002,1014.2571,549.7384,1141.1745,None
202003,1133.3536,591.3445,1392.8253,None
202004,1096.6201,605.1874,1569.4044,None
202005,1146.4497,780.2237,1678.7235,None
202006,1553.2215,1394.5135,1683.1687,정책 1
202007,1704.2676,1978.9879,3111.806,정책 3
202008,1609.1178,2563.6487,2398.7204,정책 2
202009,1430.4082,1868.7562,1315.5134,정책 2
202010,1399.5635,2154.8093,1209.9926,정책 2
202011,1452.2408,2504.4993,1380.76,정책 2
202012,1511.8361,1737.5309,1627.8543,정책 2
202101,1227.9934,1193.8538,1985.3283,None
202102,1178.713,834.2569,2341.4408,정책 3
202103,1504.947,828.7965,1973.6796,정책 1
202104,1478.8731,1057.1831,2927.413,정책 3
202105,1146.6192,1009.4506,2226.9016,정책 3
202106,1281.2213,992.5629,2141.28,정책 3
202107,1381.3393,1150.2422,1748.6589,None
202108,1464.6253,1180.4971,1691.756,None
202109,1247.9919,1151.0889,1416.9392,None
202110,1327.1223,1064.1739,1233.0734,None
202111,1297.0812,927.9766,2000.9046,None
202112,1379.6239,932.2406,2077.7249,정책 3
202201,1167.4173,855.1322,1466.941,None
202202,1210.43,797.4795,1298.2361,None
202203,1113.8466,727.2596,2041.1096,None
202204,1006.9876,865.67,2301.135,정책 3
202205,1079.9081,1171.6664,2351.0449,정책 3
202206,1269.6964,1129.7029,1893.7909,None
202207,1415.6382,1192.975,1512.9309,None
202208,1267.2761,1053.7203,1921.2119,None
202209,1352.5961,1135.1241,1518.143,None
202210,1426.6854,1339.6965,1354.289,None
202211,1094.0045,737.3319,1548.8755,None
202212,5.5011,4.0217,6.7057,None
202301,1514.2817,1756.63,1513.8723,정책 2
202302,1328.7752,1535.6849,1149.8584,정책 2
202303,1350.0213,1244.0578,1446.8031,None
202304,1718.845,2100.9528,1047.5387,정책 2
202305,944.8576,1386.7015,720.4502,None
202306,1198.1854,1429.6983,993.8513,정책 2
202307,1036.5611,1139.6784,1235.5103,None
202308,919.9436,841.1788,1146.7355,None
202309,958.6716,868.2628,1473.2447,None
202310,1071.953,1189.9995,1392.2424,None
202311,1101.201,1212.4344,1448.3434,None
202312,1214.1355,1059.7649,1487.3614,None
202401,1428.7587,991.1709,2075.811,None
202402,1238.8427,1183.0391,1397.5666,None
202403,1199.4944,1141.7914,1499.8199,None
202404,1326.9288,1125.6351,1352.2481,None
202405,1502.9747,1200.9485,1472.0699,정책 1
202406,1362.4796,1098.9983,1573.2146,None
202407,1598.7197,1097.1019,1717.9745,정책 1
202408,1611.0174,1084.2545,2129.5993,정책 3
202409,1385.0564,849.9891,1396.4095,None
202410,1316.1613,924.9656,1465.7405,None
202411,974.0073,674.0488,1330.2654,None
